CLIENTNUM,Attrition_Flag (Customer turnover),Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,loanProbability,Loan
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,2,3,30367,2362,8%,0.8730564385798835,1
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,1,13535,1291,10%,0.737959982,1
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,3,3193,2517,79%,0.3050991485634236,0
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,1,2,14470,1157,8%,0.6409980685542185,1
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,2,0,20979,1800,9%,0.7110842986808452,0
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,3,3,1438.3,0,0%,0.12246674627422334,1
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,2,1,4470,680,15%,0.5306346322308562,1
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,2,2492,1560,63%,0.3963902270694862,0
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,2,3,12217,0,0%,0.5998282749062243,0
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,1,2,7768,1669,22%,0.4641981122536483,0
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,1,2,14784,1374,9%,0.5048623836236782,1
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,2,10215,1010,10%,0.5405155467130432,0
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,2,2,10100,0,0%,0.6294048256674324,1
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,0,0,4785,1362,29%,0.6713745480102707,1
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,2,3,2753,1811,66%,0.5344018598637659,1
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,5,1,2451,1690,69%,0.37027507175866525,1
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,1,2,8923,2517,28%,0.6137165208647043,0
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,2,3,2650,1490,56%,0.4184522029874742,0
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,2,2,12555,1696,14%,0.6416317083515608,0
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,2,1,3520,1914,54%,0.3184063770401755,0
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,2,3,3035,2298,76%,0.458415051,0
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,3,3,15433,0,0%,0.5410364517308559,0
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,2,3672,886,24%,0.2207244005682565,0
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,4,3,7882,605,8%,0.38293785849267453,0
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,32426,578,2%,0.592485458,1
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,1,0,6205,2204,36%,0.38784901601965555,0
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,2,3,17304,2517,15%,0.3259163511967044,0
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,2,1,3906,0,0%,0.5205866342213383,0
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,3,3,9830,2055,21%,0.5213966990099397,1
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,2,3,34516,0,0%,0.6926905507512142,1
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,2,0,2283,1430,63%,0.6586717547000095,1
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,2,2,2548,2020,79%,0.4254589497961586,0
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,3,3,19458,1435,7%,0.732370307,1
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,1,1,4745,1227,26%,0.3841598240366998,1
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,3,2,2622,1549,59%,0.5084717744262228,0
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,3,1,1438.3,808,56%,0.24803473401777815,0
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,4,2,3171,2179,69%,0.1953490262214681,0
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,2,0,19763,2517,13%,0.5619734445511552,0
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,3,3,15769,0,0%,0.540525522,0
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,4,2,3298,2200,67%,0.5235379115456585,1
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,0,2802,2363,84%,0.32874361023588705,0
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,2,3,4458,1880,42%,0.3932614793336427,1
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,1,2,6273,978,16%,0.5851333372653387,1
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,3,3336,1753,53%,0.3551722098705913,1
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,2,3,3436,2016,59%,0.5409505855171145,0
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,4,4,34516,0,0%,0.5780355771668919,1
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,3,3,5926,1251,21%,0.31031922745717666,0
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,4,2,23957,2102,9%,0.6546984479671089,0
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,2,2,14734,1634,11%,0.5459877243099167,1
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,1,4,34516,1515,4%,0.7330953113799409,1
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,3,3,6584,1817,28%,0.4942176163697054,0
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,3,3,2084,1468,70%,0.39285567621725803,0
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,1687,1107,66%,0.32501997997780274,0
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,2,2,25300,1330,5%,0.9171879812659869,1
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,2,3,34516,1763,5%,0.6667248087031965,1
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,3,3,2216,1034,47%,0.4505317143886591,0
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,2,3,2910,2030,70%,0.26185748578982787,0
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,2,2,22913,1528,7%,0.8751462767719144,1
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,24312,1932,8%,0.4896682191709334,0
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,3,2,5272,1515,29%,0.3758708631087728,0
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,4,2,7000,2517,36%,0.4740513242339149,0
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,2,7038,1801,26%,0.36030936,0
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,1,2,2536,1823,72%,0.45906687486051606,1
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,3,2,28904,1899,7%,0.7483581358408031,1
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,0,8567,1695,20%,0.4605076722712766,1
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,2,2,34516,1533,4%,0.47710738305713224,1
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,4,3,2158,0,0%,0.5048283310882191,0
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,3,3,10133,1417,14%,0.4702054707987189,0
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,4,2,34516,1219,4%,0.4649924383108416,1
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,3,0,3085,1910,62%,0.45714277849959756,1
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,2,1,19040,2056,11%,0.5666709374112152,0
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,2,3,4026,0,0%,0.4043239248417422,1
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,3,1,12756,837,7%,0.6622539144241675,1
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,3,3,5266,0,0%,0.40866429375329044,1
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,2,2,9930,0,0%,0.5372361521817604,0
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,3,0,31302,1953,6%,0.7343753934426981,1
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,3,6576,0,0%,0.2356752072243578,0
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,4,1,2664,2037,77%,0.26727524057663365,0
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,1,2,2535,2440,96%,0.4754427615644987,0
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,4,3,1709,895,52%,0.32260175294575383,1
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,4,2,3454,1200,35%,0.5507254441161219,1
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,3,2,3789,1706,45%,0.7011488341365688,0
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,2,0,9689,2250,23%,0.7139186668001277,1
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,3,3,5449,1628,30%,0.38384958920972123,0
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,4,0,23032,1960,9%,0.6530358071652866,0
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,3,3,34516,2053,6%,0.6407958136592802,1
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,2,2,2940,1264,43%,0.5034580862621668,0
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3031,1879,62%,0.2632143830130214,0
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,3,0,1862,0,0%,0.42567469115962464,0
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,3,3,8358,926,11%,0.635546459,0
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,1,2,34516,931,3%,0.6578729530460548,1
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,2,3,14450,2440,17%,0.6347697718568864,1
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,0,0,1438.3,0,0%,0.32743750092973284,0
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,3,2,33791,1960,6%,0.7613467358675202,0
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,3,0,8466,1886,22%,0.617340132,1
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,3,3,15088,865,6%,0.699815202,1
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,1,2,3263,1674,51%,0.5588600523867763,0
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,1494,706,47%,0.19828209615086864,0
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,1,0,13551,1294,10%,0.6683369666198307,1
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,2,2,18886,895,5%,0.5141342364603245,1
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,2,0,11976,1273,11%,0.5868652614549122,0
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,1,4,9964,1559,16%,0.719317908,1
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,6,3,24159,1196,5%,0.7578593004380452,1
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,2,3,5362,1901,36%,0.41754996845702813,0
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,2,2,34516,1023,3%,0.4605614431972931,1
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,1,0,3174,1951,62%,0.43015709362871857,1
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,2,2,12262,1836,15%,0.6582191061004982,1
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,3,3,3788,1540,41%,0.4273695552524793,0
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,3,2,34516,1527,4%,0.4831435047651137,0
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,2,2,2926,0,0%,0.44499137131967487,1
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,1,0,32090,0,0%,0.6768586233255971,1
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,2,11669,2227,19%,0.6845464177261726,1
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,1,2,13532,1300,10%,0.5202059346016348,0
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,2,2,11888,2090,18%,0.25927470303937544,1
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,1,2,2393,1985,83%,0.33264560844485325,1
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,1,2,6111,2517,41%,0.6195982248775462,0
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,2,3,19270,1662,9%,0.7460646867957903,1
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,1,4,3710,2517,68%,0.29062117512338226,0
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,1,3,3235,797,25%,0.3926666370760834,0
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,1,0,11749,788,7%,0.5471017324009244,0
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,3,2,7753,2100,27%,0.4469665300427691,0
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,1,0,10408,1186,11%,0.8423492427899992,1
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,2,3,3967,1568,40%,0.4153047885725576,0
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,2,2,6205,2517,41%,0.41919260244444867,1
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,3,3,8025,0,0%,0.5965442815887172,1
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,2,3,9036,2327,26%,0.3358179657772153,0
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,3,2,14926,2517,17%,0.7646619511118393,1
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,2,3,6335,1128,18%,0.21272114415006882,1
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,3,3,14979,0,0%,0.467321197,0
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,2,3,2732,0,0%,0.49882321602105945,0
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,3,2,2250,2117,94%,0.35132273695514254,0
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,2,0,10916,1536,14%,0.5973816254645303,1
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,1,3,5349,1228,23%,0.5030061698256433,1
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24,1,3,9366,1104,12%,0.5371658156449713,1
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28,1,0,21617,0,0%,0.6848758798641906,1
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56,2,3,13860,1652,12%,0.48759029571755697,1
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,3,18386,0,0%,0.18157338829355343,0
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,2,2,2405,1540,64%,0.5897063278619101,0
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47,2,3,2154,930,43%,0.4088099283687317,0
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,2038,0,0%,0.5702956489455501,0
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38,1,3,8135,0,0%,0.6104723030866609,0
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,1,3,9364,618,7%,0.5863523776882291,0
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,3,2,32643,0,0%,0.44340767061420483,1
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,3,1,3195,1954,61%,0.36352445742694217,1
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43,2,1,2852,1024,36%,0.3597029321211954,1
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36,3,3,4224,1305,31%,0.25396733283112377,0
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,2,2,20459,2071,10%,0.44539807169526846,0
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,5,3,3482,2114,61%,0.5361128439958243,1
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,2,3,3065,1570,51%,0.5659609329538801,1
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,1,2,2185,1761,81%,0.4467721703596417,0
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,1,0,1611,746,46%,0.4406996184077166,0
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,2822,2173,77%,0.5172088865454693,1
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33,3,3,32975,2517,8%,0.7895696557635279,1
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47,2,2,1438.3,0,0%,0.6118760618241409,0
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,3,3,15875,1719,11%,0.6587826557798262,1
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45,3,3,6703,893,13%,0.43642478337837787,1
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,1,3212,0,0%,0.35281642233583094,0
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45,1,3,34516,1260,4%,0.6917239500268203,0
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36,1,2,9797,1434,15%,0.7055327462989187,0
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36,2,2,10400,1777,17%,0.7401227227496266,1
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,1,2,26792,1836,7%,0.6393909340687765,1
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56,3,2,3006,2517,84%,0.28689601883722904,1
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,3,0,19482,1072,6%,0.4070945233705354,0
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,2,3,3356,985,29%,0.35928895504343444,0
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,2,1,5771,2248,39%,0.3794647970518745,0
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,2,3,11106,2107,19%,0.7641183870762287,0
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,3,0,2890,2001,69%,0.35718205462541414,0
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45,2,2,3380,1701,50%,0.4506861613876596,0
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36,1,2,21331,1251,6%,0.6644730851121105,1
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,2,1,12860,0,0%,0.6038190229309022,1
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,1,0,6278,462,7%,0.5278415082860874,1
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55,1,3,1438.3,738,51%,0.2317830060542028,1
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36,1,2,9355,1626,17%,0.5453056705700493,1
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31,1,3,20758,0,0%,0.6861438281521806,0
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,3,1,14612,1976,14%,0.586701593,0
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27,2,0,27259,0,0%,0.7156164817932419,1
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,2,3,6347,1594,25%,0.4504032788149839,1
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,0,21592,1676,8%,0.7917197028525995,1
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,1,1,3449,1598,46%,0.7257986087026147,1
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,1,2,6028,799,13%,0.448083794,1
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,2,3,18214,1998,11%,0.37339384215852667,0
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,1,16393,1423,9%,0.6451193508032217,1
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,3,2,1438.3,900,63%,0.18745116502234072,0
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36,1,2,7871,1687,21%,0.4152600974798724,0
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,3,0,5288,866,16%,0.6102359734525884,1
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32,5,3,11376,2006,18%,0.790881693,1
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41,5,3,12302,1632,13%,0.8656532443119329,0
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33,2,1,34516,1679,5%,0.698543562,1
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32,2,2,34516,1468,4%,0.679834077,1
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,2,2,10514,1580,15%,0.2296711188156242,0
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,4,3,1438.3,0,0%,0.305519784,1
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,1438.3,0,0%,0.5417881703687579,1
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56,1,2,2619,1779,68%,0.2040366751209982,0
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53,3,0,24407,2395,10%,0.6309111960023042,1
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,1,2,2377,1649,69%,0.4352011547273177,0
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40,2,3,34516,1359,4%,0.38153713754165075,1
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,3,3,11086,2207,20%,0.7525428236788058,1
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,2,2,11432,2517,22%,0.6065490193217138,1
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36,3,2,13258,1721,13%,0.8656485057222696,1
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,2,3,2571,1955,76%,0.3287526761835554,0
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31,2,0,5781,1168,20%,0.45583625,1
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30,1,2,7872,2509,32%,0.5691453103574856,0
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35,1,2,34516,1202,4%,0.7564545565330563,1
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,1,3,11127,1835,17%,0.3482677524786779,0
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43,1,3,1857,1603,86%,0.28730399817989594,0
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36,1,0,1913,1272,67%,0.28855520953475294,0
